name,full_name,html_url,description,created_at,updated_at,pushed_at,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,private
bash-commands,fullstackleo777/bash-commands,https://github.com/fullstackleo777/bash-commands,"General use bash commands",2025-01-21T04:28:44Z,2025-01-21T05:00:58Z,2025-01-21T05:00:55Z,0,0,,0,0,main,false
bash-scripts,fullstackleo777/bash-scripts,https://github.com/fullstackleo777/bash-scripts,"General use custom .bashrc files",2024-11-15T11:20:16Z,2025-05-30T09:44:18Z,2025-05-30T09:44:14Z,0,0,Shell,0,0,main,false
bashrc,fullstackleo777/bashrc,https://github.com/fullstackleo777/bashrc,"Custom .bashrc files",2024-11-15T10:19:58Z,2024-11-15T10:21:44Z,2024-11-15T10:21:40Z,0,0,Shell,0,0,main,false
coming-soon-single-page-templates,fullstackleo777/coming-soon-single-page-templates,https://github.com/fullstackleo777/coming-soon-single-page-templates,"General use custom ""coming soon"" single page templates using only html, css, and vanilla javascript",2024-11-17T13:01:59Z,2025-01-04T05:14:09Z,2025-01-04T05:14:06Z,0,0,HTML,0,0,main,false
covers,fullstackleo777/covers,https://github.com/fullstackleo777/covers,"repo covers",2025-05-26T08:47:48Z,2025-05-30T11:03:49Z,2025-05-30T11:03:45Z,0,0,,0,0,main,false
csv-to-sql,fullstackleo777/csv-to-sql,https://github.com/fullstackleo777/csv-to-sql,"General use structural starting point for git repo data csv to sql database using csv, mysql, and python",2024-11-17T13:31:00Z,2024-11-17T13:42:30Z,2024-11-17T13:42:27Z,0,0,Python,0,0,main,false
diy-cold-storage-wallet,fullstackleo777/diy-cold-storage-wallet,https://github.com/fullstackleo777/diy-cold-storage-wallet,"Info regarding DIY cold storage wallets",2025-05-08T08:57:47Z,2025-05-26T10:49:16Z,2025-05-26T10:49:13Z,0,0,,0,0,main,false
faq-web-dev,fullstackleo777/faq-web-dev,https://github.com/fullstackleo777/faq-web-dev,"Frequently asked questions regarding web development",2024-12-11T01:08:15Z,2025-01-27T17:43:00Z,2025-01-27T17:42:56Z,0,0,,0,0,main,false
fullstackleo777,fullstackleo777/fullstackleo777,https://github.com/fullstackleo777/fullstackleo777,"Config files for my GitHub profile.",2024-11-13T10:07:04Z,2025-02-12T22:07:19Z,2025-02-12T22:07:15Z,0,0,,0,0,main,false
java-with-react-js,fullstackleo777/java-with-react-js,https://github.com/fullstackleo777/java-with-react-js,"General use structural starting point for a project using Java on the backend and React on the frontend ",2025-02-04T17:34:01Z,2025-05-27T10:35:43Z,2025-05-27T10:35:39Z,0,0,,0,0,main,false
js-scripts,fullstackleo777/js-scripts,https://github.com/fullstackleo777/js-scripts,"General use custom js scripts",2024-11-17T11:50:36Z,2024-11-18T05:36:57Z,2024-11-17T12:16:24Z,0,0,JavaScript,0,0,main,false
mobile-device-os-flashing,fullstackleo777/mobile-device-os-flashing,https://github.com/fullstackleo777/mobile-device-os-flashing,"Flashing different operating systems on mobile devices",2024-12-31T11:21:30Z,2025-01-04T05:02:48Z,2025-01-04T05:02:45Z,0,0,,0,0,main,false
parrot-os-fine-tuning,fullstackleo777/parrot-os-fine-tuning,https://github.com/fullstackleo777/parrot-os-fine-tuning,"Fine tuning for Parrot OS",2024-12-31T08:55:35Z,2025-05-27T09:16:14Z,2025-05-27T09:16:11Z,0,0,,0,0,main,false
php-scripts,fullstackleo777/php-scripts,https://github.com/fullstackleo777/php-scripts,"General use custom php scripts",2024-11-17T12:35:04Z,2025-01-04T05:44:24Z,2025-01-04T05:44:20Z,0,0,PHP,0,0,main,false
real-combos,fullstackleo777/real-combos,https://github.com/fullstackleo777/real-combos,"A collection of real combos for MMA, Boxing, Wrestling, Muay Thai, Kickboxing, Judo, Karate, and more!",2025-05-28T08:22:36Z,2025-05-29T10:19:32Z,2025-05-29T10:19:29Z,0,0,,0,0,main,false
resume,fullstackleo777/resume,https://github.com/fullstackleo777/resume,"Resume content for FullStackLeo",2024-11-21T17:00:17Z,2025-05-27T08:46:30Z,2025-05-27T08:46:27Z,0,0,HTML,0,0,main,false
social-media-sizing,fullstackleo777/social-media-sizing,https://github.com/fullstackleo777/social-media-sizing,"A list of social media sizing",2025-03-30T10:23:18Z,2025-05-26T11:15:15Z,2025-05-26T11:15:11Z,0,0,,0,0,main,false
tech-market,fullstackleo777/tech-market,https://github.com/fullstackleo777/tech-market,"A data set of the worldwide technology market",2024-11-24T10:58:40Z,2025-05-28T09:13:57Z,2025-05-28T09:13:54Z,0,0,HTML,0,0,main,false
tech-terminology-series,fullstackleo777/tech-terminology-series,https://github.com/fullstackleo777/tech-terminology-series,"Brainwash yourself, tech terminology",2025-01-21T20:24:43Z,2025-05-30T11:08:17Z,2025-05-30T11:08:11Z,0,0,,0,0,main,false
vimrc,fullstackleo777/vimrc,https://github.com/fullstackleo777/vimrc,"Custom .vimrc files",2024-11-15T11:14:05Z,2024-11-15T11:15:13Z,2024-11-15T11:15:09Z,0,0,Vim Script,0,0,main,false
